pk_cliente,nome,email
2,Maria gsdgsdgsdg,maria.oliveira@email.com
3,José Santos,jose.santos@email.com
5,Carlos swgdsghdfh,carlos.afasfasf@email.com
6,Margarida Alves,margarida.alves@email.com
7,Bruno Ferreira,bruno.ferreira@email.com
8,Cláudia Martins,claudia.martins@email.com
9,Pedro Gonçalves,pedro.goncalves@email.com
10,Beatriz sadasdasdd,beatriz.asdasdasd@email.com
11,asfasfasfa Maria,aegewgwe.maria@email.com
12,sdsdfsdfsdf,asdasdd@afasf.com
13,rhther,agtawtg@afasf.com
14,updateagbsehbrdehr,zvzxvzxv@asdfas.eu
15,afasfasf,asfsafasf@adfasfa.com
16,teste asdasd,asdasdteste@afasf.com
17,teste adasdas dasda,asdastesteada@gmail.com
18,marciopt1,dalemeurei@email.com
